"issueId","type","license","dependency","packageLocator","version","project","projectUrl","status","depth","details","usage","teams","teamGroups","policyName","scannedAt","analyzedAt","firstFoundAt","originPaths","directDependencies","paths"
"14742761","Flagged","EPL-2.0","CDI APIs","mvn+jakarta.enterprise:jakarta.enterprise.cdi-api$4.1.0","4.1.0","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2",,"transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.89+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > jakarta.enterprise:jakarta.enterprise.cdi-api"
"14742754","Flagged","GPL-2.0-with-classpath-exception","CDI APIs","mvn+jakarta.enterprise:jakarta.enterprise.cdi-api$4.1.0","4.1.0","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2","Safe to include or link in an executable provided that source availability/attribution requirements are followed.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > jakarta.enterprise:jakarta.enterprise.cdi-api"
"14742747","Flagged","EPL-2.0","Core :: Server","mvn+org.eclipse.jetty:jetty-server$12.0.12","12.0.12","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2",,"transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > org.eclipse.jetty:jetty-server"
"14742752","Flagged","EPL-2.0","EclipseLink JPA","mvn+org.eclipse.persistence:org.eclipse.persistence.jpa$4.0.2","4.0.2","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2",,"transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > org.eclipse.persistence:org.eclipse.persistence.jpa"
"14742741","Flagged","GPL-2.0-with-classpath-exception","EclipseLink JPA","mvn+org.eclipse.persistence:org.eclipse.persistence.jpa$4.0.2","4.0.2","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2","Safe to include or link in an executable provided that source availability/attribution requirements are followed.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > org.eclipse.persistence:org.eclipse.persistence.jpa"
"14742756","Flagged","LGPL-3.0-or-later","@img/sharp-libvips-darwin-arm64","npm+@img/sharp-libvips-darwin-arm64$1.0.4","1.0.4","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","3","Requires you to (effectively) disclose your source code if the library is statically linked to your project. Not triggered if dynamically linked or a separate process.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","node_characterai > sharp > @img/sharp-libvips-darwin-arm64, node_characterai > sharp > @img/sharp-darwin-arm64 > @img/sharp-libvips-darwin-arm64"
"14742758","Flagged","LGPL-3.0-or-later","@img/sharp-libvips-darwin-x64","npm+@img/sharp-libvips-darwin-x64$1.0.4","1.0.4","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","3","Requires you to (effectively) disclose your source code if the library is statically linked to your project. Not triggered if dynamically linked or a separate process.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.89+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","node_characterai > sharp > @img/sharp-libvips-darwin-x64, node_characterai > sharp > @img/sharp-darwin-x64 > @img/sharp-libvips-darwin-x64"
"14742759","Flagged","LGPL-3.0-or-later","@img/sharp-libvips-linux-arm","npm+@img/sharp-libvips-linux-arm$1.0.5","1.0.5","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","3","Requires you to (effectively) disclose your source code if the library is statically linked to your project. Not triggered if dynamically linked or a separate process.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.89+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","node_characterai > sharp > @img/sharp-libvips-linux-arm, node_characterai > sharp > @img/sharp-linux-arm > @img/sharp-libvips-linux-arm"
"14742733","Flagged","LGPL-3.0-or-later","@img/sharp-libvips-linux-arm64","npm+@img/sharp-libvips-linux-arm64$1.0.4","1.0.4","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","3","Requires you to (effectively) disclose your source code if the library is statically linked to your project. Not triggered if dynamically linked or a separate process.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","node_characterai > sharp > @img/sharp-libvips-linux-arm64, node_characterai > sharp > @img/sharp-linux-arm64 > @img/sharp-libvips-linux-arm64"
"14742749","Flagged","LGPL-3.0-or-later","@img/sharp-libvips-linuxmusl-arm64","npm+@img/sharp-libvips-linuxmusl-arm64$1.0.4","1.0.4","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","3","Requires you to (effectively) disclose your source code if the library is statically linked to your project. Not triggered if dynamically linked or a separate process.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","node_characterai > sharp > @img/sharp-libvips-linuxmusl-arm64, node_characterai > sharp > @img/sharp-linuxmusl-arm64 > @img/sharp-libvips-linuxmusl-arm64"
"14742730","Flagged","LGPL-3.0-or-later","@img/sharp-libvips-linuxmusl-x64","npm+@img/sharp-libvips-linuxmusl-x64$1.0.4","1.0.4","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","3","Requires you to (effectively) disclose your source code if the library is statically linked to your project. Not triggered if dynamically linked or a separate process.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.888+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","node_characterai > sharp > @img/sharp-libvips-linuxmusl-x64, node_characterai > sharp > @img/sharp-linuxmusl-x64 > @img/sharp-libvips-linuxmusl-x64"
"14742729","Flagged","LGPL-3.0-or-later","@img/sharp-libvips-linux-s390x","npm+@img/sharp-libvips-linux-s390x$1.0.4","1.0.4","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","3","Requires you to (effectively) disclose your source code if the library is statically linked to your project. Not triggered if dynamically linked or a separate process.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.888+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","node_characterai > sharp > @img/sharp-libvips-linux-s390x, node_characterai > sharp > @img/sharp-linux-s390x > @img/sharp-libvips-linux-s390x"
"14742757","Flagged","LGPL-3.0-or-later","@img/sharp-libvips-linux-x64","npm+@img/sharp-libvips-linux-x64$1.0.4","1.0.4","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","3","Requires you to (effectively) disclose your source code if the library is statically linked to your project. Not triggered if dynamically linked or a separate process.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.89+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","node_characterai > sharp > @img/sharp-libvips-linux-x64, node_characterai > sharp > @img/sharp-linux-x64 > @img/sharp-libvips-linux-x64"
